"indicator_id","dimension_id","indicator_original_name","indicator_direction","indicator_weight","date","period_id","geo_id","indicator_value","source_id","total","year"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-AS",112.401274965343,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-CB",125.815412856256,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-CL",131.770439824914,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-CM",122.276511221439,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-CN",162.860754177033,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-CT",187.886736619235,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-EX",88.589565108405,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-GA",124.596678492454,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-IB",173.139598330313,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-MC",99.2570324742688,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-MD",281.118952730656,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-NC",134.230629215613,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-PV",214.332084781736,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-RI",134.4520751822,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ES-VC",118.581526531305,"EVASTUR",FALSE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2022-01-01","Y","ESP",162.083861094283,"EVASTUR",TRUE,"2022"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-AN",153.535070340675,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-AR",124.127042321094,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-AS",127.365216766403,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-CB",115.455396000392,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-CL",139.855532863372,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-CM",112.241241740503,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-CN",172.226586454049,"EVASTUR",FALSE,"2023"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2023-01-01","Y","ES-CT",209.362381356565,"EVASTUR",FALSE,"2023"
